competitor,date,source,title,content,category,source_url,collected_at,item_id
NetEase News,2026-08-08,Apple App Store,App Store rating snapshot · v118.0,"Version 118.0 has an App Store rating of 4.70/5 from 785,024 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E7%BD%91%E6%98%93%E6%96%B0%E9%97%BB-%E5%A4%B4%E6%9D%A1%E6%96%B0%E9%97%BB%E8%A7%86%E9%A2%91%E8%B5%84%E8%AE%AF%E5%B9%B3%E5%8F%B0/id425349261?uo=4,2026-08-08,appstore:425349261:rating:82524ad05b620f7b
Sohu News,2026-08-08,Apple App Store,App Store rating snapshot · v7.5.70,"Version 7.5.70 has an App Store rating of 4.73/5 from 81,108 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E6%90%9C%E7%8B%90%E6%96%B0%E9%97%BB-%E5%87%86%E7%A1%AE%E5%8F%AF%E9%9D%A0/id436957087?uo=4,2026-08-08,appstore:436957087:rating:346521421bb7ec8c
Tencent News,2026-08-08,Apple App Store,App Store rating snapshot · v8.0.02,"Version 8.0.02 has an App Store rating of 4.02/5 from 353,661 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E8%85%BE%E8%AE%AF%E6%96%B0%E9%97%BB/id399363156?uo=4,2026-08-08,appstore:399363156:rating:29737a256808c420
Toutiao,2026-08-08,Apple App Store,App Store rating snapshot · v17.9.0,"Version 17.9.0 has an App Store rating of 4.76/5 from 2,806,612 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E4%BB%8A%E6%97%A5%E5%A4%B4%E6%9D%A1/id529092160?uo=4,2026-08-08,appstore:529092160:rating:cd04e855ca9ad1be
NetEase News,2026-08-07,Apple App Store,App Store rating snapshot · v118.0,"Version 118.0 has an App Store rating of 4.70/5 from 785,016 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E7%BD%91%E6%98%93%E6%96%B0%E9%97%BB-%E5%A4%B4%E6%9D%A1%E6%96%B0%E9%97%BB%E8%A7%86%E9%A2%91%E8%B5%84%E8%AE%AF%E5%B9%B3%E5%8F%B0/id425349261?uo=4,2026-08-07,appstore:425349261:rating:2a9e53d173f20130
Sohu News,2026-08-07,Apple App Store,App Store rating snapshot · v7.5.70,"Version 7.5.70 has an App Store rating of 4.72/5 from 81,099 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E6%90%9C%E7%8B%90%E6%96%B0%E9%97%BB-%E5%87%86%E7%A1%AE%E5%8F%AF%E9%9D%A0/id436957087?uo=4,2026-08-07,appstore:436957087:rating:501f1f15536da945
Tencent News,2026-08-07,Apple App Store,App Store rating snapshot · v8.0.02,"Version 8.0.02 has an App Store rating of 4.02/5 from 353,609 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E8%85%BE%E8%AE%AF%E6%96%B0%E9%97%BB/id399363156?uo=4,2026-08-07,appstore:399363156:rating:55add50708ff6af1
Toutiao,2026-08-07,Apple App Store,App Store rating snapshot · v17.9.0,"Version 17.9.0 has an App Store rating of 4.76/5 from 2,806,485 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E4%BB%8A%E6%97%A5%E5%A4%B4%E6%9D%A1/id529092160?uo=4,2026-08-07,appstore:529092160:rating:e830f162431092b6
NetEase News,2026-08-06,Apple App Store,App Store rating snapshot · v118.0,"Version 118.0 has an App Store rating of 4.70/5 from 785,007 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E7%BD%91%E6%98%93%E6%96%B0%E9%97%BB-%E5%A4%B4%E6%9D%A1%E6%96%B0%E9%97%BB%E8%A7%86%E9%A2%91%E8%B5%84%E8%AE%AF%E5%B9%B3%E5%8F%B0/id425349261?uo=4,2026-08-06,appstore:425349261:rating:91b8173941ca50e3
Sohu News,2026-08-06,Apple App Store,Version 7.5.70 release notes,【时间线动态】新增大图模板，内容展示更直观、更有吸引力 【优化】修复已知问题，提升用户体验 【用户反馈】使用中遇到问题或有任何建议，可在【我-设置-意见反馈】中提给客服小秘书,Product Feature,https://apps.apple.com/cn/app/%E6%90%9C%E7%8B%90%E6%96%B0%E9%97%BB-%E5%87%86%E7%A1%AE%E5%8F%AF%E9%9D%A0/id436957087?uo=4,2026-08-07,appstore:436957087:release:7.5.70
Sohu News,2026-08-06,Apple App Store,App Store rating snapshot · v7.5.60,"Version 7.5.60 has an App Store rating of 4.73/5 from 81,094 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E6%90%9C%E7%8B%90%E6%96%B0%E9%97%BB-%E5%87%86%E7%A1%AE%E5%8F%AF%E9%9D%A0/id436957087?uo=4,2026-08-06,appstore:436957087:rating:6adeb04a49622be4
Tencent News,2026-08-06,Apple App Store,App Store rating snapshot · v8.0.02,"Version 8.0.02 has an App Store rating of 4.02/5 from 353,565 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E8%85%BE%E8%AE%AF%E6%96%B0%E9%97%BB/id399363156?uo=4,2026-08-06,appstore:399363156:rating:2616c6efd736f67c
Toutiao,2026-08-06,Apple App Store,Version 17.9.0 release notes,修复了已知问题，提升了app的稳定性,Product Feature,https://apps.apple.com/cn/app/%E4%BB%8A%E6%97%A5%E5%A4%B4%E6%9D%A1/id529092160?uo=4,2026-08-07,appstore:529092160:release:17.9.0
Toutiao,2026-08-06,Apple App Store,App Store rating snapshot · v17.8.0,"Version 17.8.0 has an App Store rating of 4.76/5 from 2,806,359 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E4%BB%8A%E6%97%A5%E5%A4%B4%E6%9D%A1/id529092160?uo=4,2026-08-06,appstore:529092160:rating:ebb2c4f89c0067ad
Sohu News,2026-08-05,Apple App Store,App Store rating snapshot · v7.5.60,"Version 7.5.60 has an App Store rating of 4.73/5 from 81,085 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E6%90%9C%E7%8B%90%E6%96%B0%E9%97%BB-%E5%87%86%E7%A1%AE%E5%8F%AF%E9%9D%A0/id436957087?uo=4,2026-08-05,appstore:436957087:rating:351c6117ddae7dc5
Tencent News,2026-08-05,Apple App Store,App Store rating snapshot · v8.0.02,"Version 8.0.02 has an App Store rating of 4.02/5 from 353,529 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E8%85%BE%E8%AE%AF%E6%96%B0%E9%97%BB/id399363156?uo=4,2026-08-05,appstore:399363156:rating:3dbad1fce270d983
NetEase News,2026-08-04,Apple App Store,App Store rating snapshot · v118.0,"Version 118.0 has an App Store rating of 4.70/5 from 784,986 ratings at collection time.",User Engagement,https://apps.apple.com/cn/app/%E7%BD%91%E6%98%93%E6%96%B0%E9%97%BB-%E5%A4%B4%E6%9D%A1%E6%96%B0%E9%97%BB%E8%A7%86%E9%A2%91%E8%B5%84%E8%AE%AF%E5%B9%B3%E5%8F%B0/id425349261?uo=4,2026-08-04,appstore:425349261:rating:1cef9e9a1d94a14e
